Child: 0, type: 3, width: 524, height: 349
Child: 1, type: 6, width: 263, height: 296
Child: 2, type: 6, width: 224, height: 117
Child: 3, type: 6, width: 225, height: 28
Child: 4, type: 6, width: 224, height: 69
Child: 5, type: 6, width: 597, height: 373
Child: 6, type: 6, width: 289, height: 362
Child: 7, type: 6, width: 288, height: 362
Child: 8, type: 6, width: 30, height: 31
Child: 9, type: 6, width: 30, height: 31
Child: 10, type: 6, width: 30, height: 31
Child: 11, type: 6, width: 30, height: 31
Child: 12, type: 6, width: 30, height: 31
Child: 13, type: 6, width: 30, height: 31
Child: 14, type: 6, width: 30, height: 31
Child: 15, type: 6, width: 30, height: 31
Child: 16, type: 6, width: 30, height: 31
Child: 17, type: 6, width: 30, height: 31
Child: 18, type: 6, width: 30, height: 31
Child: 19, type: 6, width: 30, height: 31
Child: 20, type: 6, width: 30, height: 31
Child: 21, type: 6, width: 30, height: 31
Child: 22, type: 6, width: 30, height: 31
Child: 23, type: 6, width: 30, height: 31
Child: 24, type: 6, width: 30, height: 31
Child: 25, type: 6, width: 30, height: 31
Child: 26, type: 6, width: 30, height: 31
Child: 27, type: 6, width: 30, height: 31
Child: 28, type: 6, width: 30, height: 31
Child: 29, type: 6, width: 30, height: 31
Child: 30, type: 6, width: 30, height: 31
Child: 31, type: 6, width: 30, height: 31
Child: 32, type: 6, width: 30, height: 31
Child: 33, type: 6, width: 30, height: 31
Child: 34, type: 6, width: 30, height: 31
Child: 35, type: 6, width: 30, height: 31
Child: 36, type: 6, width: 30, height: 31
Child: 37, type: 6, width: 30, height: 31
Child: 38, type: 6, width: 30, height: 31
Child: 39, type: 6, width: 30, height: 31
Child: 40, type: 6, width: 30, height: 31
Child: 41, type: 6, width: 30, height: 31
Child: 42, type: 6, width: 30, height: 31
Child: 43, type: 6, width: 30, height: 31
Child: 44, type: 5, width: 26, height: 23
Child: 45, type: 0, width: 182, height: 94
Child: 46, type: 0, width: 182, height: 44
Child: 47, type: 0, width: 182, height: 48
Child: 48, message: 
Child: 49, message: 
