Child: 0, type: 0, width: 512, height: 334
Child: 1, type: 3, width: 512, height: 334
Child: 2, type: 3, width: 497, height: 320
Child: 3, type: 3, width: 168, height: 282
Child: 4, type: 6, width: 231, height: 277
Child: 5, type: 6, width: 25, height: 25
Child: 6, type: 6, width: 25, height: 25
Child: 7, type: 6, width: 25, height: 25
Child: 8, type: 6, width: 25, height: 25
Child: 9, type: 6, width: 25, height: 25
Child: 10, type: 6, width: 25, height: 25
Child: 11, type: 6, width: 25, height: 25
Child: 12, type: 6, width: 25, height: 25
Child: 13, type: 6, width: 25, height: 25
Child: 14, type: 6, width: 25, height: 25
Child: 15, type: 6, width: 25, height: 25
Child: 16, type: 6, width: 25, height: 25
Child: 17, type: 6, width: 25, height: 25
Child: 18, type: 6, width: 25, height: 25
Child: 19, type: 6, width: 25, height: 25
Child: 20, type: 6, width: 25, height: 25
Child: 21, type: 6, width: 25, height: 25
Child: 22, type: 6, width: 25, height: 25
Child: 23, type: 6, width: 25, height: 25
Child: 24, type: 6, width: 25, height: 25
Child: 25, type: 6, width: 25, height: 25
Child: 26, type: 6, width: 25, height: 25
Child: 27, type: 6, width: 25, height: 25
Child: 28, type: 6, width: 25, height: 25
Child: 29, type: 6, width: 25, height: 25
Child: 30, type: 6, width: 149, height: 162
Child: 31, type: 6, width: 147, height: 87
Child: 32, type: 5, width: 26, height: 23
Child: 33, type: 0, width: 16391, height: 16391
Child: 34, type: 0, width: 16391, height: 16391
Child: 35, type: 5, width: 32, height: 334
Child: 36, type: 5, width: 462, height: 32
Child: 37, type: 5, width: 512, height: 32
Child: 38, type: 5, width: 32, height: 334
Child: 39, type: 5, width: 32, height: 32
Child: 40, type: 5, width: 32, height: 32
Child: 41, type: 5, width: 32, height: 32
Child: 42, type: 5, width: 32, height: 32
Child: 43, type: 0, width: 8192, height: 16391
Child: 44, type: 0, width: 8188, height: 16391
Child: 45, type: 0, width: 16391, height: 8192
Child: 46, type: 0, width: 16391, height: 8182
Child: 47, type: 0, width: 512, height: 334
Child: 48, type: 5, width: 256, height: 16384
Child: 49, type: 5, width: 256, height: 16391
Child: 50, type: 5, width: 16391, height: 167
Child: 51, type: 5, width: 16391, height: 166
